kode_politikus;politikus;kode_Kerabat;kerabat_politikus;tipe_kerabat
Q123871630;Adrias;Q124792512;S. F. Hariyanto;SPOUSE
Q123870780;Aisyah Putri Devira;Q19725610;Endre Saifoel;PARENT
Q123871450;Akbar Rais Maulana;Q20278570;Zulhendri Chaniago;PARENT
Q123871450;Akbar Rais Maulana;Q124199724;Pelita Handayani;PARENT
Q123870732;Albert Hendra Lukman;Q19723853;Alex Indra Lukman;SIBLING
Q123714976;Armen Syahjohan;Q123871338;Mario Syah Johan;SIBLING
Q123869229;Artha Berliana Samosir;Q123709739;Yan Santoso D. Purba;SPOUSE
Q123869229;Artha Berliana Samosir;Q130215897;Grease Melia Putri Santoso Purba;CHILD
Q123895929;Astri Tiarasari Yasin;Q61119223;Al Yasin Ali;PARENT
Q123895929;Astri Tiarasari Yasin;Q109861362;Muttiara T. Yasin;PARENT
Q123712582;Atik Kusdarwati;Q17411443;Sudewa;SPOUSE
Q100594513;Danty Indriastuti Purnamasari;Q85992977;Muhammad Ali Reza;SPOUSE
Q100594513;Danty Indriastuti Purnamasari;Q7531876;Tutut Soeharto;PARENT
Q123879721;Dede Muhamad Muharam;Q16182795;Sohibul Iman;SIBLING
Q123879721;Dede Muhamad Muharam;Q17410890;Oded Muhammad Danial;SIBLING
Q123872860;Edison;Q111312738;Indah Cahya Nabilla;CHILD
Q123869922;Erni Ariyanti;Q109435954;Hendri Yanto Sitorus;SIBLING
Q123869922;Erni Ariyanti;Q123714732;Trinovi Khairani;SIBLING
Q123869922;Erni Ariyanti;Q25464531;Khairuddin Syah Sitorus;PARENT
Q123877445;Farah Savira;Q12524985;Yahya Zaini;PARENT
Q123871108;Fetris Oktri Hardi;Q124286577;Harlina Syahputri;PARENT
Q123871108;Fetris Oktri Hardi;Q124295447;Maiko Candra;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295449;Meutya Vera Marleni;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295471;Ivo Nila Kurcanti;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295476;Dessy Harmila Sari;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295482;Maidestal Hari Mahesa;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295487;Decky Harmiko Saputra;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295490;Puji Suci Kurniasih;SIBLING
Q123871108;Fetris Oktri Hardi;Q124295502;Lathifa Paradisa;SIBLING
Q123871108;Fetris Oktri Hardi;Q12473332;Baharuddin R.;PARENT
Q123883012;Fuad Benardi;Q12522317;Tri Rismaharini;PARENT
Q104155065;Futri Zulya Savitri;Q16164694;Ahmad Mumtaz Rais;SPOUSE
Q104155065;Futri Zulya Savitri;Q4260406;Zulkifli Hasan;PARENT
Q118881094;Galih Dimuntur Kartasasmita;Q12470931;Agus Gumiwang Kartasasmita;SIBLING
Q98635249;Harwendro Adityo Dewanto;Q19731920;Rahayu Saraswati;SPOUSE
